<UNK> 1.0	SPN
හිතුවොත්නම් 1.0	h i t^ u w o t^ n a m
හිතූ 1.0	h i t^ u:
හිතෙ 1.0	h i t^ e
හිතෙට 1.0	h i t^ e t @
හිතෙත් 1.0	h i t^ e t^
හිතෙන 1.0	h i t^ e n @
හිතෙනවද 1.0	h i t^ e n @ w @ d^ @
හිතෙනවනම් 1.0	h i t^ e n @ w @ n a m
හිතෙනවනෙ 1.0	h i t^ e n @ w @ n e
හිතෙනවා 1.0	h i t^ e n @ w a:
හිතෙන් 1.0	h i t^ e n
හිතෙන්න 1.0	h i t^ e n n @
හිතෙන්නෙ 1.0	h i t^ e n n e
හිතෙන්නෙත් 1.0	h i t^ e n n e t^
හිතෙන්නේ 1.0	h i t^ e n n e:
හිතෙනෙවා 1.0	h i t^ e n e w a:
හිතෙයි 1.0	h i t^ e y i
හිතේ 1.0	h i t^ e:
හිදි 1.0	h i d^ i
හිදින 1.0	h i d^ i n @
හිදී 1.0	h i d^ i:
හිනස්සවන 1.0	h i n a s s @ w @ n @
හිනහා 1.0	h i n @ h a:
හින්ට් 1.0	h i n t
හින්න 1.0	h i n n @
හින්නාවා 1.0	h i n n a: w a:
හින්නෝන්මාදය 1.0	h i n n o: n m a: d^ @ y @
හින්සනයට 1.0	h i n s @ n @ y @ t @
හිනා 1.0	h i n a:
හිනාව 1.0	h i n a: w @
හිනාවට 1.0	h i n a: w @ t @
හිනාවෙන 1.0	h i n a: w e n @
හිනාවෙනවා 1.0	h i n a: w e n @ w a:
හිනාවෙන් 1.0	h i n a: w e n
හිනාවෙන්න 1.0	h i n a: w e n n @
හිනාවෙලා 1.0	h i n a: w e l a:
හිනිපෙත්ත 1.0	h i n i p e t^ t^ @
හිපපොටේමස් 1.0	h i p @ p o t e: m a s
හිප් 1.0	h i p
හිම 1.0	h i m @
හිමාල 1.0	h i m a: l @
හිමාලය 1.0	h i m a: l @ y @
හිමාලයේ 1.0	h i m a: l @ y e:
හිමාලේ 1.0	h i m a: l e:
හිමි 1.0	h i m i
හිමිකම 1.0	h i m i k @ m @
හිමිකම් 1.0	h i m i k a m
හිමිකර 1.0	h i m i k @ r @
හිමිකරගත්තා 1.0	h i m i k @ r @ g a t^ t^ a:
හිමිකරගත්තු 1.0	h i m i k @ r @ g a t^ t^ u
හිමිකරගෙන 1.0	h i m i k @ r @ g e n @
හිමිකරු 1.0	h i m i k @ r u
හිමිකරුවකු 1.0	h i m i k a r u w @ k u
හිමිකරුවන් 1.0	h i m i k a r u w a n
හිමිකරුවන්ට 1.0	h i m i k a r u w a n t @
හිමිකරුවෙක් 1.0	h i m i k a r u w e k
හිමිගෙ 1.0	h i m i g e
හිමිගෙන් 1.0	h i m i g e n
හිමිගේ 1.0	h i m i g e:
හිමිට 1.0	h i m i t @
හිමිනමක් 1.0	h i m i n @ m a k
හිමිනමට 1.0	h i m i n @ m @ t @
හිමින් 1.0	h i m i n
හිමිපාණන් 1.0	h i m i p a: n a n
හිමිපාණන්ට 1.0	h i m i p a: n a n t @
හිමිපාණෝ 1.0	h i m i p a: n o:
හිමියකුට 1.0	h i m i y @ k u t @
හිමියන් 1.0	h i m i y a n
හිමියන්ට 1.0	h i m i y a n t @
හිමියන්ටත් 1.0	h i m i y a n t a t^
හිමියන්ව 1.0	h i m i y a n w @
හිමියන්හට 1.0	h i m i y a n h @ t @
හිමියනි 1.0	h i m i y @ n i
හිමියා 1.0	h i m i y a:
හිමියාගේ 1.0	h i m i y a: g e:
හිමියාට 1.0	h i m i y a: t @
හිමියාටත් 1.0	h i m i y a: t a t^
හිමියෙන් 1.0	h i m i y e n
හිමියෝ 1.0	h i m i y o:
හිමිව 1.0	h i m i w @
හිමිවනවා 1.0	h i m i w @ n @ w a:
හිමිවන්නේ 1.0	h i m i w a n n e:
හිමිවනුයේ 1.0	h i m i w @ n u y e:
හිමිවරු 1.0	h i m i w @ r u
හිමිවරුනට 1.0	h i m i w @ r u n @ t @
හිමිවරුන් 1.0	h i m i w @ r u n
හිමිවෙන්න 1.0	h i m i w e n n @
හිමිවෙන්නේ 1.0	h i m i w e n n e:
හිමිවේවායි 1.0	h i m i w e: w a: y i
හිමිහිට 1.0	h i m i h i t @
හිමීට 1.0	h i m i: t @
හිමෙන් 1.0	h i m e n
හිමේ 1.0	h i m e:
හියාරපිටිය 1.0	h i y a: r @ p i t i y @
හියුටේ 1.0	h i y u t e:
හිර 1.0	h i r @
හිරකරලා 1.0	h i r @ k @ r @ l a:
හිරකාරයකු 1.0	h i r @ k a: r @ y @ k u
හිරකාරයන්ට 1.0	h i r @ k a: r @ y a n t @
හිරගෙදර 1.0	h i r @ g e d^ @ r @
හිරගෙදරට 1.0	h i r @ g e d^ @ r @ t @
හිරය 1.0	h i r @ y @
හිරවෙච්ච 1.0	h i r @ w e c^ c^ @
හිරවෙනවා 1.0	h i r @ w e n @ w a:
හිරවෙලා 1.0	h i r @ w e l a:
හිරු 1.0	h i r u
හිරුකිකා 1.0	h i r u k i k a:
හිරුෂාන් 1.0	h i r u s^ a: n
හිරෙන් 1.0	h i r e n
හිරේ 1.0	h i r e:
හිරේට 1.0	h i r e: t @
හිරෝමිගේ 1.0	h i r o: m i g e:
හිලව්වට 1.0	h i l a w w @ t @
හිල් 1.0	h i l
හිල්ටන් 1.0	h i l t a n
හිල්ඩා 1.0	h i l d a:
හිවල්ලු 1.0	h i w a l l u
හිවලා 1.0	h i w @ l a:
හිස 1.0	h i s @
හිසට 1.0	h i s @ t @
හිසතෙල් 1.0	h i s @ t^ e l
හිසනවා 1.0	h i s @ n @ w a:
හිසමත 1.0	h i s @ m @ t^ @
හිසරදයක් 1.0	h i s @ r @ d^ @ y a k
හිසරුදාවට 1.0	h i s @ r u d^ a: w @ t @
හිස් 1.0	h i s
හිස්කබල 1.0	h i s k @ b @ l @
හිස්මත 1.0	h i s m @ t^ @
හිස්වචන 1.0	h i s w @ c^ @ n @
හිස්වුණ 1.0	h i s w u n @
හිසි 1.0	h i s i
හිසෙහි 1.0	h i s e h i
හිසේ 1.0	h i s e:
හී 1.0	h i:
හීං 1.0	h i: x
හීණ 1.0	h i: n @
හීතල 1.0	h i: t^ @ l @
හීතලත් 1.0	h i: t^ @ l a t^
හීන 1.0	h i: n @
හීනකින්වත් 1.0	h i: n @ k i n w a t^
හීනටි 1.0	h i: n @ t i
හීනතාවයෙන් 1.0	h i: n @ t^ a: w @ y e n
හීනතාවෙන් 1.0	h i: n @ t^ a: w e n
හීනමානයක් 1.0	h i: n @ m a: n @ y a k
හීනමානයකිනි 1.0	h i: n @ m a: n @ y @ k i n i
හීනමානයෙන් 1.0	h i: n @ m a: n @ y e n
හීනමානෙ 1.0	h i: n @ m a: n e
හීනය 1.0	h i: n @ y @
හීනයක් 1.0	h i: n @ y a k
හීනයානයට 1.0	h i: n @ y a: n @ y @ t @
හීනයානිකයනට 1.0	h i: n @ y a: n i k @ y @ n @ t @
හීනවලට 1.0	h i: n @ w @ l @ t @
හීනවි 1.0	h i: n @ w i
හීන් 1.0	h i: n
හීන්අප්පු 1.0	h i: n a p p u
හීනෙකින් 1.0	h i: n e k i n
හීනෙකින්වත් 1.0	h i: n e k i n w a t^
හීනෙන් 1.0	h i: n e n
හීනෙන්වත් 1.0	h i: n e n w a t^
හීනේ 1.0	h i: n e:
හීනේන් 1.0	h i: n e: n
හීබෘ 1.0	h i: b r u
හීරුනොත් 1.0	h i: r u n o t^
හීරෝ 1.0	h i: r o:
හීල් 1.0	h i: l
හුග 1.0	h u g @
හුගක් 1.0	h u g a k
හුගාක් 1.0	h u g a: k
හුචක්කුවලට 1.0	h u c^ a k k u w @ l @ t @
හුට 1.0	h u t @
හුටපටයකට 1.0	h u t @ p @ t @ y @ k @ t @
හුටපටේ 1.0	h u t @ p @ t e:
හුටා 1.0	h u t a:
හුටාගෙත් 1.0	h u t a: g e t^
හුටු 1.0	h u t u
හුණු 1.0	h u n u
හුදකලා 1.0	h u d^ @ k @ l a:
හුදකලාව 1.0	h u d^ @ k @ l a: w @
හුදකලාවෙ 1.0	h u d^ @ k @ l a: w e
හුදි 1.0	h u d^ i
හුදී 1.0	h u d^ i:
හුදු 1.0	h u d^ u
හුදෙකලා 1.0	h u d^ e k @ l a:
හුදෙකලාවේමයි 1.0	h u d^ e k @ l a: w e: m a y i
හුදෙක් 1.0	h u d^ e k
හුනන් 1.0	h u n a n
හුන් 1.0	h u n
හුන්නස් 1.0	h u n n a s
හුන්නේ 1.0	h u n n e:
හුනියම් 1.0	h u n i y a m
හුනු 1.0	h u n u
හුයි 1.0	h u y i
හුරතල් 1.0	h u r @ t^ a l
හුරතල්කල 1.0	h u r @ t^ a l k @ l @
හුරු 1.0	h u r u
හුරුකර 1.0	h u r u k @ r @
හුරුපුරුදු 1.0	h u r u p u r u d^ u
හුරුලු 1.0	h u r u l u
හුරුවන්න 1.0	h u r u w a n n @
හුරේ 1.0	h u r e:
හුල 1.0	h u l @
හුලං 1.0	h u l a x
හුලන් 1.0	h u l a n
හුලස් 1.0	h u l a s
හුලා 1.0	h u l a:
හුලාගේ 1.0	h u l a: g e:
හුවමාරු 1.0	h u w @ m a: r u
හුවමාරුවක් 1.0	h u w @ m a: r u w a k
හුවමාරුවට 1.0	h u w @ m a: r u w @ t @
හුවා 1.0	h u w a:
හුවාමරු 1.0	h u w a: m @ r u
හුස්ම 1.0	h u s m @
හුස්මක් 1.0	h u s m a k
හුස්මට 1.0	h u s m @ t @
හුළං 1.0	h u l a x
හූ 1.0	h u:
හූනන්ට 1.0	h u: n a n t @
හූනාගේ 1.0	h u: n a: g e:
හූනෝ 1.0	h u: n o:
හූරගෙන 1.0	h u: r @ g e n @
හූරලා 1.0	h u: r @ l a:
හූල්ලන්න 1.0	h u: l l a n n @
හූල්ලනු 1.0	h u: l l @ n u
හූල්ලාම 1.0	h u: l l a: m @
හූවකිං 1.0	h u: w @ k i x
හෘද 1.0	h r u d^ @
හෘදය 1.0	h r u d^ @ y @
හෘදයාබාධයක් 1.0	h r u d^ @ y a: b a: d^ @ y a k
හෘදයාබාධයකින් 1.0	h r u d^ @ y a: b a: d^ @ y @ k i n
හෘදයේ 1.0	h r u d^ @ y e:
හෘදසාක්ෂිය 1.0	h r u d^ @ s a: k s^ i y @
හෙංචයියන් 1.0	h e x c^ @ y i y a n
හෙංචයියෙක් 1.0	h e x c^ @ y i y e k
හෙක්ටයාර 1.0	h e k t @ y a: r @
හෙක්ටයාරලක්ෂයක් 1.0	h e k t @ y a: r @ l a k s^ @ y a k
හෙක්ටර් 1.0	h e k t @ r
හෙගලියානු 1.0	h e g @ l i y a: n u
හෙජමොනිය 1.0	h e j @ m o n i y @
හෙට 1.0	h e t @
හෙටක් 1.0	h e t a k
හෙටට 1.0	h e t @ t @
හෙටත් 1.0	h e t a t^
හෙට්ටිආරච්චි 1.0	h e t t i a: r a c^ c^ i
හෙට්ටිආරච්චිට 1.0	h e t t i a: r a c^ c^ i t @
හෙට්ටිගේ 1.0	h e t t i g e:
හෙඩ්ට 1.0	h e d t @
හෙණ 1.0	h e n @
හෙතෙ 1.0	h e t^ e
හෙද 1.0	h e d^ @
හෙදියක් 1.0	h e d^ i y a k
හෙදියන් 1.0	h e d^ i y a n
හෙදියන්ට 1.0	h e d^ i y a n t @
හෙන 1.0	h e n @
හෙනගහල 1.0	h e n @ g @ h a l @
හෙනට 1.0	h e n @ t @
හෙනාවට 1.0	h e n a: w @ t @
හෙප්පුවේ 1.0	h e p p u w e:
හෙබ 1.0	h e b @
හෙබි 1.0	h e b i
හෙබියේ 1.0	h e b i y e:
හෙම 1.0	h e m @
හෙමින් 1.0	h e m i n
හෙමිනුයි 1.0	h e m i n u y i
හෙමිහිට 1.0	h e m i h i t @
හෙයකින් 1.0	h e y @ k i n
හෙයින් 1.0	h e y i n
හෙයිනි 1.0	h e y i n i
හෙරුගම් 1.0	h e r u g a m
හෙරොයින් 1.0	h e r o y i n
හෙරොයින්වලට 1.0	h e r o y i n w @ l @ t @
හෙල 1.0	h e l @
හෙලන 1.0	h e l @ n @
හෙලනවා 1.0	h e l @ n @ w a:
හෙලන්න 1.0	h e l a n n @
හෙලමින් 1.0	h e l @ m i n
හෙල් 1.0	h e l
හෙල්ප් 1.0	h e l p
හෙල්මටයත් 1.0	h e l m @ t @ y a t^
හෙල්මට් 1.0	h e l m @ t
හෙල්ලපාර 1.0	h e l l @ p a: r @
හෙල්ලුණත් 1.0	h e l l u n a t^
හෙලා 1.0	h e l a:
හෙලි 1.0	h e l i
හෙලිකර 1.0	h e l i k @ r @
හෙලිකරමින් 1.0	h e l i k @ r @ m i n
හෙලිකල 1.0	h e l i k @ l @
හෙලිකොප්ටරය 1.0	h e l i k o p t @ r @ y @
හෙලිකොප්ටරයෙන් 1.0	h e l i k o p t @ r @ y e n
හෙලිකොප්ටර් 1.0	h e l i k o p t @ r
හෙලිදරව් 1.0	h e l i d^ @ r a w
හෙලිදරව්වක් 1.0	h e l i d^ @ r a w w a k
හෙලීම 1.0	h e l i: m @
හෙලීමක් 1.0	h e l i: m a k
හෙලුවට 1.0	h e l u w @ t @
හෙලූ 1.0	h e l u:
හෙලේනා 1.0	h e l e: n a:
හෙවණ 1.0	h e w @ n @
හෙවණේ 1.0	h e w @ n e:
හෙවත් 1.0	h e w a t^
හෙවනක් 1.0	h e w @ n a k
හෙව්ව 1.0	h e w w @
හෙව්වත් 1.0	h e w w a t^
හෙව්වා 1.0	h e w w a:
හෙවිවා 1.0	h e w i w a:
හෙහ් 1.0	h e h
හෙළ 1.0	h e l @
හෙළටුවා 1.0	h e l @ t u w a:
හෙළදිව 1.0	h e l @ d^ i w @
හෙළන්නට 1.0	h e l a n n @ t @
හෙළමිනි 1.0	h e l @ m i n i
හෙළය 1.0	h e l @ y @
හෙළයන් 1.0	h e l @ y a n
හෙළලා 1.0	h e l @ l a:
හෙළා 1.0	h e l a:
හෙළාදක්නා 1.0	h e l a: d^ a k n a:
හෙළාම 1.0	h e l a: m @
හෙළි 1.0	h e l i
හෙළිකර 1.0	h e l i k @ r @
හෙළිකරගෙන 1.0	h e l i k @ r @ g e n @
හෙළිකරන 1.0	h e l i k @ r @ n @
හෙළිකරන්නට 1.0	h e l i k @ r a n n @ t @
හෙළිකොට 1.0	h e l i k o t @
හෙළිදරව් 1.0	h e l i d^ @ r a w
හෙළිදරව්ව 1.0	h e l i d^ @ r a w w @
හෙළිදරව්වක් 1.0	h e l i d^ @ r a w w a k
හෙළිදරවු 1.0	h e l i d^ @ r a w u
හෙළිපෙහෙළි 1.0	h e l i p e h e l i
හෙළිවන්නේ 1.0	h e l i w a n n e:
හෙළිවෙන 1.0	h e l i w e n @
හෙළීම 1.0	h e l i: m @
හෙළීමට 1.0	h e l i: m @ t @
හෙළීම් 1.0	h e l i: m
හෙළීමේ 1.0	h e l i: m e:
හෙළුවෙන් 1.0	h e l u w e n
හේ 1.0	h e:
හේතු 1.0	h e: t^ u
හේතුකාරණා 1.0	h e: t^ u k a: r @ n a:
හේතුකොට 1.0	h e: t^ u k o t @
හේතුදක්වයි 1.0	h e: t^ u d^ a k w a y i
හේතුන් 1.0	h e: t^ u n
හේතුප්‍රත්‍ය 1.0	h e: t^ u p p r a t^ t^ y @
හේතුපාදක 1.0	h e: t^ u p a: d^ @ k @
හේතුඵල 1.0	h e: t^ u p @ l @
හේතුයි 1.0	h e: t^ u y i
හේතුව 1.0	h e: t^ u w @
හේතුවකට 1.0	h e: t^ u w @ k @ t @
හේතුවක් 1.0	h e: t^ u w a k
හේතුවකි 1.0	h e: t^ u w @ k i
හේතුවකින් 1.0	h e: t^ u w @ k i n
හේතුවකුත් 1.0	h e: t^ u w @ k u t^
හේතුවත් 1.0	h e: t^ u w a t^
හේතුවනම් 1.0	h e: t^ u w @ n a m
හේතුවනවා 1.0	h e: t^ u w @ n @ w a:
හේතුවන්නට 1.0	h e: t^ u w a n n @ t @
හේතුවන්නා 1.0	h e: t^ u w a n n a:
හේතුවන්නේ 1.0	h e: t^ u w a n n e:
හේතුවයි 1.0	h e: t^ u w a y i
හේතුවාදය 1.0	h e: t^ u w a: d^ @ y @
හේතුවාදයට 1.0	h e: t^ u w a: d^ @ y @ t @
හේතුවාදියා 1.0	h e: t^ u w a: d^ i y a:
හේතුවාදියෙකු 1.0	h e: t^ u w a: d^ i y e k u
හේතුවාදියො 1.0	h e: t^ u w a: d^ i y o
හේතුවාදී 1.0	h e: t^ u w a: d^ i:
හේතුවාදීන් 1.0	h e: t^ u w a: d^ i: n
හේතුවි 1.0	h e: t^ u w i
හේතුවුණේ 1.0	h e: t^ u w u n e:
හේතුවූයේ 1.0	h e: t^ u w u: y e:
හේතුවෙන 1.0	h e: t^ u w e n @
හේතුවෙන් 1.0	h e: t^ u w e n
හේතුවෙනි 1.0	h e: t^ u w e n i
හේතුවෙනුයි 1.0	h e: t^ u w e n u y i
හේතූන් 1.0	h e: t^ u: n
හේතූන්ට 1.0	h e: t^ u: n t @
හේදුවම 1.0	h e: d^ u w @ m @
හේදුවා 1.0	h e: d^ u w a:
හේදෙන්න 1.0	h e: d^ e n n @
හේන 1.0	h e: n @
හේනක් 1.0	h e: n a k
හේන් 1.0	h e: n
හේන්වල 1.0	h e: n w @ l @
හේනානිගලට 1.0	h e: n a: n i g @ l @ t @
හේනේ 1.0	h e: n e:
හේම 1.0	h e: m @
හේමමාලා 1.0	h e: m @ m a: l a:
හේමමාලි 1.0	h e: m @ m a: l i
හේමමාලී 1.0	h e: m @ m a: l i:
හේමලතා 1.0	h e: m @ l @ t^ a:
හේරත් 1.0	h e: r a t^
හේවගෙන් 1.0	h e: w @ g e n
හේවගේලා 1.0	h e: w @ g e: l a:
හේවා 1.0	h e: w a:
හේවාගෙ 1.0	h e: w a: g e
හේවාපන්න 1.0	h e: w a: p a n n @
හේවාමද්දුම 1.0	h e: w a: m a d^ d^ u m @
හේවායා 1.0	h e: w a: y a:
හේවිසි 1.0	h e: w i s i
හො 1.0	h o
හොංකොං 1.0	h o x k o x
හොකින් 1.0	h o k i n
හොකී 1.0	h o k i:
හොට 1.0	h o t @
හොට් 1.0	h o t
හොටු 1.0	h o t u
හොටෙන් 1.0	h o t e n
හොටෙල් 1.0	h o t e l
හොඩුවාවල් 1.0	h o d u w a: w a l
හොත් 1.0	h o t^
හොදකම 1.0	h o d^ @ k @ m @
හොදකරන්න 1.0	h o d^ @ k @ r a n n @
හොදට 1.0	h o d^ @ t @
හොදනම් 1.0	h o d^ @ n a m
හොදම 1.0	h o d^ @ m @
හොදයි 1.0	h o d^ a y i
හොදයියක් 1.0	h o d^ @ y i y a k
හොදි 1.0	h o d^ i
හොදින් 1.0	h o d^ i n
හොදියි 1.0	h o d^ i y i
හොදේ 1.0	h o d^ e:
හොබනා 1.0	h o b @ n a:
හොබවන 1.0	h o b @ w @ n @
හොබවන්නේ 1.0	h o b @ w a n n e:
හොබවනු 1.0	h o b @ w @ n u
හොබී 1.0	h o b i:
හොම්ස් 1.0	h o m s
හොම්ස්ට 1.0	h o m s t @
හොය 1.0	h o y @
හොයගන්න 1.0	h o y @ g a n n @
හොයගන්නවා 1.0	h o y @ g a n n @ w a:
හොයද්දී 1.0	h o y a d^ d^ i:
හොයන 1.0	h o y @ n @
හොයනවනම් 1.0	h o y @ n @ w @ n a m
හොයනවා 1.0	h o y @ n @ w a:
හොයනවාට 1.0	h o y @ n @ w a: t @
හොයන් 1.0	h o y a n
හොයන්න 1.0	h o y a n n @
හොයන්නත් 1.0	h o y a n n a t^
හොයන්නෙ 1.0	h o y a n n e
හොයන්නෙත් 1.0	h o y a n n e t^
හොයන්නේ 1.0	h o y a n n e:
හොයමු 1.0	h o y @ m u
හොයල 1.0	h o y @ l @
හොයලා 1.0	h o y @ l a:
හොයා 1.0	h o y a:
හොයාගත්ත 1.0	h o y a: g a t^ t^ @
හොයාගත්තත් 1.0	h o y a: g a t^ t^ a t^
හොයාගත්තයි 1.0	h o y a: g a t^ t^ a y i
හොයාගත්තා 1.0	h o y a: g a t^ t^ a:
හොයාගත්තෙත් 1.0	h o y a: g a t^ t^ e t^
හොයාගත්තේ 1.0	h o y a: g a t^ t^ e:
හොයාගන්න 1.0	h o y a: g a n n @
හොයාගන්නකම් 1.0	h o y a: g a n n @ k a m
හොයාගන්නත් 1.0	h o y a: g a n n a t^
හොයාගන්නම් 1.0	h o y a: g a n n a m
හොයාගන්නවත් 1.0	h o y a: g a n n @ w a t^
හොයාගන්නවා 1.0	h o y a: g a n n @ w a:
හොයාගන්නෙ 1.0	h o y a: g a n n e
හොයාගනින් 1.0	h o y a: g @ n i n
හොයාගෙන 1.0	h o y a: g e n @
හොයාගෙනයි 1.0	h o y a: g e n a y i
හොර 1.0	h o r @
හොරකං 1.0	h o r @ k a x
හොරකන් 1.0	h o r @ k a n
හොරකම 1.0	h o r @ k @ m @
හොරකමක් 1.0	h o r @ k @ m a k
හොරකම් 1.0	h o r @ k a m
හොරකම්කරලා 1.0	h o r @ k a m k @ r @ l a:
හොරකමේදි 1.0	h o r @ k @ m e: d^ i
හොරට 1.0	h o r @ t @
හොරණින් 1.0	h o r @ n i n
හොරයක් 1.0	h o r @ y a k
හොරයි 1.0	h o r a y i
හොරා 1.0	h o r a:
හොරාගන්න 1.0	h o r a: g a n n @
හොරාගෙන 1.0	h o r a: g e n @
හොරාගෙන් 1.0	h o r a: g e n
හොරාට 1.0	h o r a: t @
හොරාවගේ 1.0	h o r a: w @ g e:
හොරු 1.0	h o r u
හොරුන් 1.0	h o r u n
හොරුන්ට 1.0	h o r u n t @
හොරෙක් 1.0	h o r e k
හොරෙන් 1.0	h o r e n
හොරේ 1.0	h o r e:
හොලමන් 1.0	h o l @ m a n
හොලමොට්ටයන් 1.0	h o l @ m o t t @ y a n
හොලවලා 1.0	h o l @ w @ l a:
හොල්මන 1.0	h o l m @ n @
හොල්මනක් 1.0	h o l m @ n a k
හොල්මන් 1.0	h o l m a n
හොල්ලන 1.0	h o l l @ n @
හොලිවුඞ්පුරයේ 1.0	h o l i w u p u r @ y e:
හොලිවුඩයෙන් 1.0	h o l i w u d @ y e n
හොලිවුඩ් 1.0	h o l i w u d
හොලිවුඩ්වල 1.0	h o l i w u d w @ l @
හොලීගෙන් 1.0	h o l i: g e n
හොවාත් 1.0	h o w a: t^
හොස්ටින් 1.0	h o s t i n
හෝ 1.0	h o:
හෝං 1.0	h o: x
හෝටල 1.0	h o: t @ l @
හෝටලය 1.0	h o: t @ l @ y @
හෝටලයක 1.0	h o: t @ l @ y @ k @
හෝටලයක් 1.0	h o: t @ l @ y a k
හෝටලයකින් 1.0	h o: t @ l @ y @ k i n
හෝටලයට 1.0	h o: t @ l @ y @ t @
හෝටලයේ 1.0	h o: t @ l @ y e:
හෝටල් 1.0	h o: t a l
හෝටල්වල 1.0	h o: t a l w @ l @
හෝටලේ 1.0	h o: t @ l e:
හෝටලේක 1.0	h o: t @ l e: k @
හෝටලේට 1.0	h o: t @ l e: t @
හෝටලේදි 1.0	h o: t @ l e: d^ i
හෝඩිය 1.0	h o: d i y @
හෝඩියකි 1.0	h o: d i y @ k i
හෝඩුවාවක් 1.0	h o: d u w a: w a k
හෝඩුවාවක්වත් 1.0	h o: d u w a: w a k w a t^
හෝඩුවාවන් 1.0	h o: d u w a: w a n
හෝති 1.0	h o: t^ i
හෝදගන්න 1.0	h o: d^ @ g a n n @
හෝදගෙන 1.0	h o: d^ @ g e n @
හෝදන 1.0	h o: d^ @ n @
හෝදන්න 1.0	h o: d^ a n n @
හෝදපාලුවෙක් 1.0	h o: d^ @ p a: l u w e k
හෝන් 1.0	h o: n
හෝම 1.0	h o: m @
හෝම්ස් 1.0	h o: m s
හෝම්ස්ගේ 1.0	h o: m s g e:
හෝම්ස්ට 1.0	h o: m s t @
හෝමාගම 1.0	h o: m a: g @ m @
හෝමාදි 1.0	h o: m a: d^ i
හෝමෝ 1.0	h o: m o:
හෝර්ටන් 1.0	h o: r t a n
හෝර්ට් 1.0	h o: r t
හෝරා 1.0	h o: r a:
හෝරාව 1.0	h o: r a: w @
හෝරාවක් 1.0	h o: r a: w a k
හෝරාවකි 1.0	h o: r a: w @ k i
හෝරාවන්වල 1.0	h o: r a: w a n w @ l @
හෝරාවයි 1.0	h o: r a: w a y i
හෝල් 1.0	h o: l
හෝලි 1.0	h o: l i
හෝස් 1.0	h o: s
ළං 1.0	l a x
ළංකර 1.0	l a x k @ r @
ළංවෙන 1.0	l a x w e n @
ළංවෙලා 1.0	l a x w e l a:
ළකුණු 1.0	l a k u n u
ළග 1.0	l a g @
ළගට 1.0	l a g @ t @
ළගදි 1.0	l a g @ d^ i
ළගා 1.0	l a g a:
ළගින්වත් 1.0	l a g i n w a t^
ළතවන්නේ 1.0	l a t^ @ w a n n e:
ළතවෙමින් 1.0	l a t^ @ w e m i n
ළතාවලින් 1.0	l a t^ a: w @ l i n
ළදරු 1.0	l a d^ @ r u
ළපටි 1.0	l a p @ t i
ළමයකුට 1.0	l a m @ y @ k u t @
ළමයගෙන් 1.0	l a m @ y @ g e n
ළමයට 1.0	l a m @ y @ t @
ළමයත් 1.0	l a m @ y a t^
ළමයව 1.0	l a m @ y @ w @
ළමයා 1.0	l a m @ y a:
ළමයාගේ 1.0	l a m @ y a: g e:
ළමයාට 1.0	l a m @ y a: t @
ළමයාව 1.0	l a m @ y a: w @
ළමයාවත් 1.0	l a m @ y a: w a t^
ළමයි 1.0	l a m a y i
ළමයිගේ 1.0	l a m @ y i g e:
ළමයිට 1.0	l a m @ y i t @
ළමයිත් 1.0	l a m @ y i t^
ළමයින් 1.0	l a m @ y i n
ළමයින්ට 1.0	l a m @ y i n t @
ළමයින්ටත් 1.0	l a m @ y i n t a t^
ළමයින්ටයි 1.0	l a m @ y i n t a y i
ළමයින්ව 1.0	l a m @ y i n w @
ළමයිනේ 1.0	l a m @ y i n e:
ළමයිව 1.0	l a m @ y i w @
ළමයෙක් 1.0	l a m @ y e k
ළමයෙක්ගේ 1.0	l a m @ y e k g e:
ළමයෙක්ට 1.0	l a m @ y e k t @
ළමයෙකු 1.0	l a m @ y e k u
ළමයෙකුගේ 1.0	l a m @ y e k u g e:
ළමයෙකුට 1.0	l a m @ y e k u t @
ළමයෝ 1.0	l a m @ y o:
ළමා 1.0	l a m a:
ළමාරක්ෂක 1.0	l a m a: r a k s^ @ k @
ළමුන් 1.0	l a m u n
ළමුන්ට 1.0	l a m u n t @
ළය 1.0	l a y @
ළයාන්විත 1.0	l a y a: n w i t^ @
ළා 1.0	l a:
ළාබාල 1.0	l a: b a: l @
ළාමක 1.0	l a: m @ k @
ළිං 1.0	l i x
ළිංවලින් 1.0	l i x w @ l i n
ළිපගිනි 1.0	l i p @ g i n i
ළිපි 1.0	l i p i
ළී 1.0	l i:
ළෝකයා 1.0	l o: k @ y a:
ෆට්ට 1.0	f a t t @
ෆන් 1.0	f a n
ෆයර් 1.0	f a y @ r
ෆයිට් 1.0	f a y i t
ෆයිනල් 1.0	f a y i n a l
ෆයිල් 1.0	f a y i l
ෆර්ෂිනා 1.0	f a r s^ i n a:
ෆලොව් 1.0	f a l o w
ෆලෝ 1.0	f a l o:
ෆස්ට් 1.0	f a s t
ෆ්ම් 1.0	f m
ෆ්ලයිට් 1.0	f l @ y i t
ෆ්ලින්ට් 1.0	f l i n t
ෆ්ලෝ 1.0	f l o:
ෆ්‍රෙඩී 1.0	f r e d i:
ෆ්‍රොයිඞ් 1.0	f r o y i
ෆ්‍රොයිඩියානු 1.0	f r o y i d i y a: n u
ෆ්‍රොෆයිල් 1.0	f r o f @ y i l
ෆාදර් 1.0	f a: d^ @ r
ෆාබ්‍රේස් 1.0	f a: b b r e: s
ෆාබ්‍රේස්ට 1.0	f a: b b r e: s t @
